utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8,tier_prices,tier_1_price,tier_2_price,tier_3_price,tier_4_price,tier_5_price,tier_6_price,tier_7_price,tier_8_price,median_income_category,approximate_median_income,check,bill_frequency_update
California American Water Company Los Angeles District - San Marino,CA1910052,2018-01-01,Monthly,converted to kgal,14,2.81197860281475,4.54452431818182,Tiered,14.84,33.77,55.28,0-10-21-56,0,10,21,56,NA,NA,NA,NA,NA,3.125-4.223-6.194-8.245,3.125,4.223,6.194,8.245,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
California American Water Ventura District,CA5610040,2017-01-13,Monthly,converted to kgal,15,2.7083557687601,4.51579181818182,Tiered,14.73,58.74,73.47,0-8.97-17.94-44.86,0,8.97,17.94,44.86,NA,NA,NA,NA,NA,4.94-6.334-8.424-12.414,4.94,6.334,8.424,12.414,NA,NA,NA,NA,"$100,000 to $124,999",112500,0,Monthly
California City City Of,CA1510032,2017-07-01,Monthly,converted to kgal,12.8810020738891,2.57272939528368,5.46478568181818,Tiered,52.99,6,58.99,0-9-15-25-40,0,6.732468000000001,11.220780000000001,18.7013,29.92208,NA,NA,NA,NA,0-1.23-2.58-3.25-3.93,0,0.92010396,1.9299741600000002,2.431169,2.9398443600000004,NA,NA,NA,"$45,000 to $49,999",47500,1,Monthly
California Water Service Company Antelope Valley,CA1500333,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,31.02,65.35,96.37,0-16-36,0,11.968832,26.929872000000003,NA,NA,NA,NA,NA,NA,4.3569-4.6233-5.5433,3.2591877588000004,3.4584688116000004,4.146676651600001,NA,NA,NA,NA,NA,NA,NA,1,Monthly
California Water Service Company Bakersfield,CA1510003,2017-01-01,monthly,converted to kgal,16.8617796037625,3.04819582253211,4.99993522727273,Tiered,23.47,31.41,54.88,0-14-35,0,10.472728,26.181820000000002,NA,NA,NA,NA,NA,NA,1.8278-1.9818-2.3088,1.3672894456000002,1.4824894536000002,1.7271024576000003,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,0,Monthly
California Water Service Company Bear Gulch,CA4110006,2017-01-01,monthly,converted to kgal,14.6343548302105,2.62642080101468,3.76062659090909,Tiered,30.44,100.53,130.97,0-11-36,0,8.228572,26.929872000000003,NA,NA,NA,NA,NA,NA,6.736-7.158-8.5607,5.038878272,5.354556216000001,6.403848756400001,NA,NA,NA,NA,NA,"$125,000 to $149,999",137500,1,Monthly
California Water Service Company Chico District,CA0410002,2017-01-01,monthly,converted to kgal,11.3224289927724,2.30580689497194,4.33272245454545,Tiered,20.62,18.03,38.65,0-11-32,0,8.228572,23.937664,NA,NA,NA,NA,NA,NA,1.581-1.6774-1.7736,1.182670212,1.2547824248000001,1.3267450272,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
"California Water Service Company Dixon, City of",CA4810002,2017-01-01,monthly,converted to kgal,12.1054894032459,3.19943820224719,4.71894613636364,Tiered,38.03,47.56,85.59,0-11-28,0,8.228572,20.945456,NA,NA,NA,NA,NA,NA,3.8471-4.3176-4.659,2.8778308492000004,3.2297893152,3.485174268,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,1,Monthly
California Water Service Company Dominguez,CA1910033,2017-01-01,monthly,converted to kgal,8.56413339575491,3.06748776784208,4.40347704545455,Tiered,25.5,27.86,53.36,0-12-18,0,8.976624000000001,13.464936000000002,NA,NA,NA,NA,NA,NA,3.2532-3.5271-4.109,2.4335627664,2.6384542092000003,3.0737456680000004,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
California Water Service Company East Los Angeles,CA1910036,2017-01-01,monthly,converted to kgal,6.19966461029509,3.49347500079768,4.55640022727273,Tiered,25.08,21.37,46.45,0-9,0,6.732468000000001,NA,NA,NA,NA,NA,NA,NA,3.4469-4.2477,2.5784604388,3.1775004804000004,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
California Water Service Company Hermosa Redondo,CA1910134,2017-01-01,monthly,converted to kgal,7.24251987787512,2.31494749239376,4.55011636363636,Tiered,17.81,30.36,48.17,0-11-16,0,8.228572,11.968832,NA,NA,NA,NA,NA,NA,4.1926-4.5493-5.3521,3.1362828152,3.4031129636,4.0036491092,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,1,Monthly
California Water Service Company Kern River Valley,CA1510026,2017-01-01,monthly,converted to kgal,15,3,4,Uniform,79.14,178.26,257.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8841,8.8899247732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Monthly
California Water Service Company King City,CA2710009,2017-04-15,monthly,converted to kgal,6.90467307294832,3.55281837160752,4.49508681818182,Tiered,27.91,21.07,48.98,0-7-18,0,5.236364,13.464936000000002,NA,NA,NA,NA,NA,NA,3.0297-3.1999-3.5755,2.2663731444,2.3936915948,2.674659926,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,1,Monthly
California Water Service Company Livermore,CA0105008,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,27.96,55.48,83.44,0-10-24,0,7.48052,17.953248000000002,NA,NA,NA,NA,NA,NA,3.6063-3.8364-4.6035,2.6976999276000004,2.8698266928000002,3.4436573820000005,NA,NA,NA,NA,NA,NA,NA,1,Monthly
California Water Service Company Los Altos Suburban,CA4310001,2017-01-01,monthly,converted to kgal,12.0249327682453,2.74818905311028,3.77873181818182,Tiered,26.82,53.48,80.3,0-11-28,0,8.228572,20.945456,NA,NA,NA,NA,NA,NA,4.4004-4.6813-5.6176,3.2917280208000004,3.5018558276000005,4.2022569152000004,NA,NA,NA,NA,NA,"$150,000 to $199,999",17500,1,Monthly
California Water Service Company Marysville,CA5810001,2017-01-01,monthly,converted to kgal,9.63668061487032,2.55547112462006,4.37786131818182,Tiered,34.68,24.46,59.14,0-10-22,0,7.48052,16.457144,NA,NA,NA,NA,NA,NA,2.5234-2.7429-3.1541,1.8876344168,2.0518318308000003,2.3594308132000004,NA,NA,NA,NA,NA,"$45,000 to $49,999",47500,1,Monthly
California Water Service Company Mid Peninsula,CA4110008,2018-07-01,Monthly,converted to kgal,6.4641643115805,2.50748885050656,3.9057,Tiered,24.17,42.18,66.35,0-7-12,0,5.236364,8.976624000000001,NA,NA,NA,NA,NA,NA,6.4899-6.9877-8.6572,4.8547826748,5.2271629604,6.4760357744,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,1,Monthly
California Water Service Company Oroville,CA0410005,2017-01-01,monthly,converted to kgal,8.11030889918752,2.47795758928571,4.37685811363636,Tiered,46.72,21.39,68.11,0-9-23,0,6.732468000000001,17.205196,NA,NA,NA,NA,NA,NA,2.6342-2.8284-3.3301,1.9705185784,2.1157902768,2.4910879652,NA,NA,NA,NA,NA,"$25,000 to $29,999",27500,1,Monthly
California Water Service Company Palos Verdes,CA1910104,2017-01-01,monthly,converted to kgal,19.4318285471576,2.62449310624493,4.43677863636364,Tiered,31.02,85.84,116.86,0-16-36,0,11.968832,26.929872000000003,NA,NA,NA,NA,NA,NA,4.3569-4.6233-5.5433,3.2591877588000004,3.4584688116000004,4.146676651600001,NA,NA,NA,NA,NA,"$125,000 to $149,999",137500,0,Monthly
California Water Service Company Redwood Valley,CA1710005,2017-01-01,monthly,converted to kgal,9.67237504456328,3,3.80943506818182,Tiered,23.9,61,84.9,0-8-13,0,5.984416,9.724676,NA,NA,NA,NA,NA,NA,6.1755-6.6493-8.2379,4.619595126000001,4.974022163600001,6.1623775708,NA,NA,NA,NA,NA,NA,NA,1,Monthly
California Water Service Company Salinas District,CA2710010,2017-04-15,monthly,converted to kgal,7.82225612513426,3.10877403846154,3.42045318181818,Tiered,27.91,24.01,51.92,0-7-18,0,5.236364,13.464936000000002,NA,NA,NA,NA,NA,NA,3.0297-3.1999-3.5755,2.2663731444,2.3936915948,2.674659926,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
California Water Service Company Selma,CA1010024,2017-04-15,monthly,converted to kgal,16.0595799317167,3.42637195121951,4.88816818181818,Tiered,33.08,26.56,59.64,0-13-35,0,9.724676,26.181820000000002,NA,NA,NA,NA,NA,NA,1.6457-1.6786-1.7986,1.2310691764000001,1.2556800872000002,1.3454463272000001,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
California Water Service Company South San Francisco,CA4110009,2018-07-01,Monthly,converted to kgal,4.84574331331893,2.88730914260988,3.81063818181818,Tiered,24.17,31.45,55.62,0-7-12,0,5.236364,8.976624000000001,NA,NA,NA,NA,NA,NA,6.4899-6.9877-8.6572,4.8547826748,5.2271629604,6.4760357744,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
California Water Service Company Stockton,CA3910001,2017-01-01,monthly,converted to kgal,8.11038307444298,2.90086106132627,4.65774113636364,Tiered,26.31,24.44,50.75,0-10-21,0,7.48052,15.709092000000002,NA,NA,NA,NA,NA,NA,3.0138-3.2666-3.7063,2.2544791176,2.4435866632,2.7725051276,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,0,Monthly
California Water Service Company Visalia,CA5410041,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,15.2,21.32,36.52,0-12-30,0,8.976624000000001,22.441560000000003,NA,NA,NA,NA,NA,NA,1.4144-1.4398-1.6057,1.0580447488000002,1.0770452696000001,1.2011470964,NA,NA,NA,NA,NA,NA,NA,0,Monthly
California Water Service Company Westlake,CA5610016,2017-04-15,monthly,converted to kgal,21.222815331439,2.35136094674556,4.66330840909091,Tiered,39.98,96.6,136.58,0-14-45,0,10.472728,33.66234,NA,NA,NA,NA,NA,NA,4.2435-5.0389-5.5726,3.1743586620000004,3.7693592228000004,4.1685945752,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,0,Monthly
California Water Service Company Willows,CA1110003,2017-01-01,monthly,converted to kgal,10.4070802573686,2.48708487084871,4.37719761363636,Tiered,52.59,20.95,73.54,0-9-26,0,6.732468000000001,19.449352,NA,NA,NA,NA,NA,NA,1.9794-2.1263-2.2929,1.4806941288000002,1.5905829676,1.7152084308,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,1,Monthly
Camarillo  City Of,CA5610019,2018-01-01,Monthly,converted to kgal,9.45187844971245,2.71680138568129,4.39692659090909,Tiered,23.11,15.62,38.73,0-10-19-25,0,7.48052,14.212988000000001,18.7013,NA,NA,NA,NA,NA,1.55-3.69-4.68-6.52,1.1594806000000002,2.76031188,3.50088336,4.87729904,NA,NA,NA,NA,"$75,000 to $99,999",87500,1,Monthly
Cambria Community Services District,CA4010014,2017-03-01,Bi-Monthly,converted to kgal,4,2.14922480620155,8.74640090909091,Tiered,13.26,13.795,20.425,0-5-17,0,1.87013,6.358442,NA,NA,NA,NA,NA,NA,6.76-8.84-9.87,5.05683152,6.61277968,7.38327324,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Camrosa Water District,CA5610063,2017-07-01,Monthly,converted to kgal,14.336604749414,2.55897195164887,4.52383159090909,Tiered,13.64,45.02,58.66,0-12,0,8.976624000000001,NA,NA,NA,NA,NA,NA,NA,3.08-3.34,2.30400016,2.49849368,NA,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,1,Monthly
Carlsbad Municipal Water District,CA3710005,2017-01-01,Monthly,converted to kgal,10.1109939801726,2.45582990018525,4.32170613636364,Tiered,32.54,38.91,71.45,0-11-19,0,8.228572,14.212988000000001,NA,NA,NA,NA,NA,NA,3.84-4.57-6.82,2.87251968,3.4185976400000007,5.101714640000001,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Carmichael Water District,CA3410004,2018-01-01,Bi-Monthly,converted to kgal,15,2.23889731065072,9.2082543902439,Uniform,25.93,10.345,23.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.0472728,NA,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Carpinteria Valley Water District,CA4210001,2017-07-01,Monthly,converted to kgal,8.39013168944346,2.5219298245614,4.12850659090909,Tiered,42.83,34.25,77.08,0-6,0,4.4883120000000005,NA,NA,NA,NA,NA,NA,NA,3.63-4.75,2.71542876,3.5532470000000003,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,1,Monthly
Castroville Community Services District,CA2710005,2017-08-01,Monthly,converted to kgal,15,3,4,Uniform,18.33,24.15,42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,1.2043637200000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Cerritos  City Of,CA1910019,2018-07-01,Monthly,converted to kgal,14.2831059872579,3.02510353615801,4.23776977272727,Tiered,31.08,11.99,43.07,0-10,0,7.48052,NA,NA,NA,NA,NA,NA,NA,0-2.27,0,1.6980780400000002,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,1,Monthly
Chino  City Of,CA3610012,2017-10-01,Monthly,converted to kgal,12.2731756426343,3.16650784575313,4.52682204545455,Uniform,24.61,34.12,58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,2.07958456,NA,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,1,Monthly
