utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_prices,median_income_category,approximate_median_income,check,bill_frequency_update,Tier_number,Tier_price,Tier_volume
Calaveras Public Utilities District,NA,2016-07-01,Monthly,converted to kgal,15,3,4,Tiered,39.73,11.55,51.28,0-5-20-250,0,0-1.6-2.6-2.2,NA,NA,0,Monthly,1,0,5
Calexico  City Of,CA1310002,2008-08-01,Monthly,converted to kgal,13.1350552243971,3.39473301324022,6.07298159090909,Tiered,43.89,0,43.89,0-30,0,0-2.22,"$30,000 to $34,999",32500,1,Monthly,1,0,22.441560000000003
California-American Water Company San Diego District,CA3710001,2018-01-01,Monthly,converted to kgal,7,2.86193712829227,4.24876431818182,Tiered,11.1,34.41,45.51,0-6-11-22,0,6.386-7.299-10.747-14.217,"$50,000 to $59,999",55000,0,Monthly,1,6.386,6
California American Water Company - Larkfield,NA,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,24.06,97.2,143.08,0-5-10-24,0,7.442-8.554-11.108-14.542,NA,NA,0,Monthly,1,7.442,5
California American Water Company - Monterey District,CA2701202,2017-03-20,Monthly,converted to kgal,15,3,4,Tiered,29.41,317.63,367.75,0-3-6-11-17,0,7.287-15.039-35.091-67.606-82.645,NA,NA,0,Monthly,1,7.287,3
California American Water Company - Sacramento District,CA3110150,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,19.84,46.7,66.54,0-14,0,4.162-4.536,NA,NA,1,Monthly,1,4.162,14
California American Water Company Los Angeles District - Baldwin Hills,CA1910052,2018-01-01,Monthly,converted to kgal,14,2.81197860281475,4.54452431818182,Tiered,14.84,49.46,75.41,0-8-13-30,0,4.469-5.45-7.06-9.811,"$60,000 to $74,999",67500,0,Monthly,1,4.469,8
California American Water Company Los Angeles District - Duarte,CA1910052,2018-01-01,Monthly,converted to kgal,14,2.81197860281475,4.54452431818182,Tiered,14.84,35.84,63.79,0-8-17-127,0,3.209-4.011-4.852-7.412,"$60,000 to $74,999",67500,0,Monthly,1,3.209,8
California American Water Company Los Angeles District - San Marino,CA1910052,2018-01-01,Monthly,converted to kgal,14,2.81197860281475,4.54452431818182,Tiered,14.84,33.77,55.28,0-10-21-56,0,3.125-4.223-6.194-8.245,"$60,000 to $74,999",67500,0,Monthly,1,3.125,10
California American Water Ventura District,CA5610040,2017-01-13,Monthly,converted to kgal,15,2.7083557687601,4.51579181818182,Tiered,14.73,58.74,73.47,0-8.97-17.94-44.86,0,4.94-6.334-8.424-12.414,"$100,000 to $124,999",112500,0,Monthly,1,4.94,8.97
California City City Of,CA1510032,2017-07-01,Monthly,converted to kgal,12.8810020738891,2.57272939528368,5.46478568181818,Tiered,52.99,6,58.99,0-9-15-25-40,0,0-1.23-2.58-3.25-3.93,"$45,000 to $49,999",47500,1,Monthly,1,0,6.732468000000001
California Water Service Company Antelope Valley,CA1500333,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,31.02,65.35,96.37,0-16-36,0,4.3569-4.6233-5.5433,NA,NA,1,Monthly,1,3.2591877588000004,11.968832
California Water Service Company Bakersfield,CA1510003,2017-01-01,monthly,converted to kgal,16.8617796037625,3.04819582253211,4.99993522727273,Tiered,23.47,31.41,54.88,0-14-35,0,1.8278-1.9818-2.3088,"$35,000 to $39,999",37500,0,Monthly,1,1.3672894456000002,10.472728
California Water Service Company Bear Gulch,CA4110006,2017-01-01,monthly,converted to kgal,14.6343548302105,2.62642080101468,3.76062659090909,Tiered,30.44,100.53,130.97,0-11-36,0,6.736-7.158-8.5607,"$125,000 to $149,999",137500,1,Monthly,1,5.038878272,8.228572
California Water Service Company Chico District,CA0410002,2017-01-01,monthly,converted to kgal,11.3224289927724,2.30580689497194,4.33272245454545,Tiered,20.62,18.03,38.65,0-11-32,0,1.581-1.6774-1.7736,"$40,000 to $44,999",42500,1,Monthly,1,1.182670212,8.228572
"California Water Service Company Dixon, City of",CA4810002,2017-01-01,monthly,converted to kgal,12.1054894032459,3.19943820224719,4.71894613636364,Tiered,38.03,47.56,85.59,0-11-28,0,3.8471-4.3176-4.659,"$60,000 to $74,999",67500,1,Monthly,1,2.8778308492000004,8.228572
California Water Service Company Dominguez,CA1910033,2017-01-01,monthly,converted to kgal,8.56413339575491,3.06748776784208,4.40347704545455,Tiered,25.5,27.86,53.36,0-12-18,0,3.2532-3.5271-4.109,"$60,000 to $74,999",67500,0,Monthly,1,2.4335627664,8.976624000000001
California Water Service Company East Los Angeles,CA1910036,2017-01-01,monthly,converted to kgal,6.19966461029509,3.49347500079768,4.55640022727273,Tiered,25.08,21.37,46.45,0-9,0,3.4469-4.2477,"$40,000 to $44,999",42500,1,Monthly,1,2.5784604388,6.732468000000001
California Water Service Company Hermosa Redondo,CA1910134,2017-01-01,monthly,converted to kgal,7.24251987787512,2.31494749239376,4.55011636363636,Tiered,17.81,30.36,48.17,0-11-16,0,4.1926-4.5493-5.3521,"$100,000 to $124,999",112500,1,Monthly,1,3.1362828152,8.228572
California Water Service Company Kern River Valley,CA1510026,2017-01-01,monthly,converted to kgal,15,3,4,Uniform,79.14,178.26,257.4,NA,NA,11.8841,NA,NA,0,Monthly,1,8.8899247732,NA
California Water Service Company King City,CA2710009,2017-04-15,monthly,converted to kgal,6.90467307294832,3.55281837160752,4.49508681818182,Tiered,27.91,21.07,48.98,0-7-18,0,3.0297-3.1999-3.5755,"$35,000 to $39,999",37500,1,Monthly,1,2.2663731444,5.236364
California Water Service Company Livermore,CA0105008,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,27.96,55.48,83.44,0-10-24,0,3.6063-3.8364-4.6035,NA,NA,1,Monthly,1,2.6976999276000004,7.48052
California Water Service Company Los Altos Suburban,CA4310001,2017-01-01,monthly,converted to kgal,12.0249327682453,2.74818905311028,3.77873181818182,Tiered,26.82,53.48,80.3,0-11-28,0,4.4004-4.6813-5.6176,"$150,000 to $199,999",17500,1,Monthly,1,3.2917280208000004,8.228572
California Water Service Company Marysville,CA5810001,2017-01-01,monthly,converted to kgal,9.63668061487032,2.55547112462006,4.37786131818182,Tiered,34.68,24.46,59.14,0-10-22,0,2.5234-2.7429-3.1541,"$45,000 to $49,999",47500,1,Monthly,1,1.8876344168,7.48052
California Water Service Company Mid Peninsula,CA4110008,2018-07-01,Monthly,converted to kgal,6.4641643115805,2.50748885050656,3.9057,Tiered,24.17,42.18,66.35,0-7-12,0,6.4899-6.9877-8.6572,"$100,000 to $124,999",112500,1,Monthly,1,4.8547826748,5.236364
California Water Service Company Oroville,CA0410005,2017-01-01,monthly,converted to kgal,8.11030889918752,2.47795758928571,4.37685811363636,Tiered,46.72,21.39,68.11,0-9-23,0,2.6342-2.8284-3.3301,"$25,000 to $29,999",27500,1,Monthly,1,1.9705185784,6.732468000000001
California Water Service Company Palos Verdes,CA1910104,2017-01-01,monthly,converted to kgal,19.4318285471576,2.62449310624493,4.43677863636364,Tiered,31.02,85.84,116.86,0-16-36,0,4.3569-4.6233-5.5433,"$125,000 to $149,999",137500,0,Monthly,1,3.2591877588000004,11.968832
California Water Service Company Redwood Valley,CA1710005,2017-01-01,monthly,converted to kgal,9.67237504456328,3,3.80943506818182,Tiered,23.9,61,84.9,0-8-13,0,6.1755-6.6493-8.2379,NA,NA,1,Monthly,1,4.619595126000001,5.984416
California Water Service Company Salinas District,CA2710010,2017-04-15,monthly,converted to kgal,7.82225612513426,3.10877403846154,3.42045318181818,Tiered,27.91,24.01,51.92,0-7-18,0,3.0297-3.1999-3.5755,"$50,000 to $59,999",55000,1,Monthly,1,2.2663731444,5.236364
California Water Service Company Selma,CA1010024,2017-04-15,monthly,converted to kgal,16.0595799317167,3.42637195121951,4.88816818181818,Tiered,33.08,26.56,59.64,0-13-35,0,1.6457-1.6786-1.7986,"$40,000 to $44,999",42500,1,Monthly,1,1.2310691764000001,9.724676
California Water Service Company South San Francisco,CA4110009,2018-07-01,Monthly,converted to kgal,4.84574331331893,2.88730914260988,3.81063818181818,Tiered,24.17,31.45,55.62,0-7-12,0,6.4899-6.9877-8.6572,"$75,000 to $99,999",87500,0,Monthly,1,4.8547826748,5.236364
California Water Service Company Stockton,CA3910001,2017-01-01,monthly,converted to kgal,8.11038307444298,2.90086106132627,4.65774113636364,Tiered,26.31,24.44,50.75,0-10-21,0,3.0138-3.2666-3.7063,"$30,000 to $34,999",32500,0,Monthly,1,2.2544791176,7.48052
California Water Service Company Visalia,CA5410041,2017-01-01,monthly,converted to kgal,15,3,4,Tiered,15.2,21.32,36.52,0-12-30,0,1.4144-1.4398-1.6057,NA,NA,0,Monthly,1,1.0580447488000002,8.976624000000001
California Water Service Company Westlake,CA5610016,2017-04-15,monthly,converted to kgal,21.222815331439,2.35136094674556,4.66330840909091,Tiered,39.98,96.6,136.58,0-14-45,0,4.2435-5.0389-5.5726,"$100,000 to $124,999",112500,0,Monthly,1,3.1743586620000004,10.472728
California Water Service Company Willows,CA1110003,2017-01-01,monthly,converted to kgal,10.4070802573686,2.48708487084871,4.37719761363636,Tiered,52.59,20.95,73.54,0-9-26,0,1.9794-2.1263-2.2929,"$35,000 to $39,999",37500,1,Monthly,1,1.4806941288000002,6.732468000000001
Camarillo  City Of,CA5610019,2018-01-01,Monthly,converted to kgal,9.45187844971245,2.71680138568129,4.39692659090909,Tiered,23.11,15.62,38.73,0-10-19-25,0,1.55-3.69-4.68-6.52,"$75,000 to $99,999",87500,1,Monthly,1,1.1594806000000002,7.48052
Cambria Community Services District,CA4010014,2017-03-01,Bi-Monthly,converted to kgal,4,2.14922480620155,8.74640090909091,Tiered,13.26,13.795,20.425,0-5-17,0,6.76-8.84-9.87,"$50,000 to $59,999",55000,0,Monthly,1,5.05683152,1.87013
Camrosa Water District,CA5610063,2017-07-01,Monthly,converted to kgal,14.336604749414,2.55897195164887,4.52383159090909,Tiered,13.64,45.02,58.66,0-12,0,3.08-3.34,"$100,000 to $124,999",112500,1,Monthly,1,2.30400016,8.976624000000001
Carlsbad Municipal Water District,CA3710005,2017-01-01,Monthly,converted to kgal,10.1109939801726,2.45582990018525,4.32170613636364,Tiered,32.54,38.91,71.45,0-11-19,0,3.84-4.57-6.82,"$75,000 to $99,999",87500,0,Monthly,1,2.87251968,8.228572
Carmichael Water District,CA3410004,2018-01-01,Bi-Monthly,converted to kgal,15,2.23889731065072,9.2082543902439,Uniform,25.93,10.345,23.31,NA,NA,1.4,"$50,000 to $59,999",55000,0,Monthly,1,1.0472728,NA
Carpinteria Valley Water District,CA4210001,2017-07-01,Monthly,converted to kgal,8.39013168944346,2.5219298245614,4.12850659090909,Tiered,42.83,34.25,77.08,0-6,0,3.63-4.75,"$60,000 to $74,999",67500,1,Monthly,1,2.71542876,4.4883120000000005
Castroville Community Services District,CA2710005,2017-08-01,Monthly,converted to kgal,15,3,4,Uniform,18.33,24.15,42.48,NA,NA,1.61,NA,NA,1,Monthly,1,1.2043637200000001,NA
Cerritos  City Of,CA1910019,2018-07-01,Monthly,converted to kgal,14.2831059872579,3.02510353615801,4.23776977272727,Tiered,31.08,11.99,43.07,0-10,0,0-2.27,"$75,000 to $99,999",87500,1,Monthly,1,0,7.48052
Chino  City Of,CA3610012,2017-10-01,Monthly,converted to kgal,12.2731756426343,3.16650784575313,4.52682204545455,Uniform,24.61,34.12,58.73,NA,NA,2.78,"$60,000 to $74,999",67500,1,Monthly,1,2.07958456,NA
Chino Hills  City Of,CA3610036,2017-07-01,Monthly,converted to kgal,13.4807349624706,2.96999686534414,4.48848454545455,Budget,29.54,30.44,59.98,0-indoor-100%,0,2.09-2.37-3.31,"$75,000 to $99,999",87500,1,Monthly,1,1.56342868,NA
Citrus Heights Water District,CA3410006,2017-11-08,Bi-Monthly,converted to kgal,14,2.45848273639257,8.7573135,Uniform,23.76,7.12,19,NA,NA,1.0167,"$50,000 to $59,999",55000,0,Monthly,1,0.7605444684,NA
City of Bakersfield,NA,2017-06-01,monthly,converted to kgal,15,3,4,Uniform,9.88,14.1,23.98,NA,NA,0.94,NA,NA,0,Monthly,1,0.70316888,NA
City of Gonzales,CA2710007,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,0,27.3,27.3,0-26-31-51,0,1.82-1.89-2.07-2.29,NA,NA,1,Monthly,1,1.36145464,19.449352
City of Lindsay,CA5410006,2009-01-01,Monthly,converted to kgal,15,3,4,Uniform,19.97,15.3,35.27,NA,NA,1.02,NA,NA,1,Monthly,1,0.76301304,NA
City of North Las Vegas Utility,NA(NEVADA),2016-10-01,Monthly,converted to kgal,15,3,4,Tiered,10.64,24.24,34.88,0-7-16-25,0,1.9-2.46-3.2-4.14,NA,NA,1,Monthly,1,1.9,7
City of Oceanside,CA3710014,2017-01-01,Monthly,converted to kgal,8.07529544764336,2.58848781766643,4.47429204545455,Tiered,15.2,19.78,34.98,0-14,0,2.45-3.06,"$50,000 to $59,999",55000,1,Monthly,1,1.8327274000000002,10.472728
City of Tehama,CA5200504,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,31.2,0.46,31.66,0-11-21-31,0,0-0.38-0.5-0.63,NA,NA,0,Monthly,1,0,11
City of Vacaville,CA4810008,2016-01-01,Bi-Monthly,converted to kgal,12,2.64795242141037,9.13956522727273,Uniform,19.6,10,19.8,NA,NA,1.67,"$60,000 to $74,999",67500,0,Monthly,1,1.24924684,NA
City of Winters,CA5710005,2015-09-01,Monthly,converted to kgal,15,3,4,Uniform,20.03,29.4,49.43,NA,NA,1.96,NA,NA,1,Monthly,1,1.4661819200000001,NA
Clovis  City Of,CA1010003,2017-01-07,Bi-Monthly,converted to kgal,16,2.75724107463346,9.98790545454546,Tiered,10.93,5.615,11.08,0-23-40,0,0.89-1.49-1.83,"$60,000 to $74,999",67500,0,Monthly,1,0.89,11.5
Coachella  City Of,CA3310007,2017-07-01,Monthly,converted to kgal,12.9377903394302,3.44896099161502,5.97187380952381,Tiered,13.8,19.41,33.21,0-41,0,1.5-1.65,"$30,000 to $34,999",32500,1,Monthly,1,1.1220780000000001,30.670132000000002
Coachella Valley Water District,CA3310001,2016-08-01,Monthly,converted to kgal,19.5866534472944,2.36285720967214,6.23946818181818,Budget,6.92,29.23,36.15,0-indoor-100%-175%-300%,0,0.95-1.32-2.46-4.67-6.13,"$50,000 to $59,999",55000,0,Monthly,1,0.7106494,NA
Coalinga City of,CA1010004,2014-07-01,Monthly,converted to kgal,16,2.98926043446424,5.71229971428571,Tiered,20.83,19.56,40.39,0-10-30,0,1.56-1.91-2.32,"$45,000 to $49,999",47500,0,Monthly,1,1.56,10
Coastside County Water District,CA4110011,2017-07-01,Bi-Monthly,converted to kgal,5,2.39410272669626,7.65995772727273,Tiered,39.23,28.71,48.32,0-4-16-30,0,9.65-10.77-13.89-18.41,"$100,000 to $124,999",112500,0,Monthly,1,7.218701800000001,1.496104
Colton  City Of,CA3610014,2017-07-01,Monthly,converted to kgal,11.8448914435333,3.0394401108114,5.01780829268293,Tiered,25.29,19.43,44.72,0-18,0,1.64-2.39,"$40,000 to $44,999",42500,0,Monthly,1,1.22680528,13.464936000000002
Compton City of,CA1910026,2014-07-01,Monthly,converted to kgal,8.00182389311575,3.58282957129388,4.47779263157895,Tiered,30.54,21.36,51.9,0-20,0,2.67-3.09,"$45,000 to $49,999",47500,1,Monthly,1,1.99729884,14.96104
Contra Costa Water District,CA0710003,2017-09-05,Bi-Monthly,converted to kgal,10,2.58126149713912,8.72608454545455,Tiered,8.97,18.695,23.18,0-40,0,3.91-7.82,"$75,000 to $99,999",87500,0,Monthly,1,2.92488332,14.96104
Corcoran  City Of,CA1610004,2018-04-01,Monthly,converted to kgal,21.619614435696,3.24050632911392,4.93371341463415,Uniform,27,35.89,62.89,NA,NA,1.66,"$35,000 to $39,999",37500,1,Monthly,1,1.24176632,NA
Corona City Of,CA3310037,2014-02-01,monthly,converted to kgal,13.0922143439786,2.99144359369065,4.71083159090909,Budget,25.23,27.49,52.72,0-indoor-101%-121%-140%,0,2.1-2.33-3.17-6.35-11.64,NA,NA,0,Monthly,1,1.5709092000000002,NA
Covina  City Of,CA1910127,2015-07-01,Monthly,converted to kgal,12.7378367913449,2.92428819921267,4.32241171052632,Tiered,33.24,34.52,67.76,0-16,0,2.71-3.02,"$50,000 to $59,999",55000,1,Monthly,1,2.02722092,11.968832
Crescent City,NA,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,22.49,28.82,51.31,0-5,0,0-2.62,NA,NA,1,Monthly,1,0,3.74026
Crescenta Valley Water District,CA1910028,2017-07-01,Bi-Monthly,converted to kgal,10,2.69670223084384,9.50259090909091,Tiered,23.96,20.415,32.395,0-11-27,0,4.58-7.21-10.89,"$75,000 to $99,999",87500,0,Monthly,1,4.58,5.5
Crestline Village Water District,CA3610015,2017-01-01,Monthly,converted to kgal,4.30793142500219,2.13071613459879,4.84249023255814,Tiered,26.5,18.09,44.59,0-13,0,4.2-6.3,"$45,000 to $49,999",47500,0,Monthly,1,3.1418184000000005,9.724676
Cucamonga Valley Water District,CA3610018,2017-07-01,Bi-Monthly,converted to kgal,14,2.86087534257952,9.44991681818182,Tiered,20.88,13.96,24.395,0-10-40-100,0,1.61-2.14-2.68-3.05,"$75,000 to $99,999",87500,0,Monthly,1,1.2043637200000001,3.74026
Daly City  City of,CA4110013,2017-07-01,Bi-Monthly,converted to kgal,6,2.94875131164743,7.61205318181818,Tiered,16.45,11.34,19.565,0-14,0,3.62-8.28,"$75,000 to $99,999",87500,0,Monthly,1,2.7079482400000003,5.236364
Davis  City Of,CA5710001,2019-01-01,Monthly,converted to kgal,9.35365348943243,2.48895655335394,4.66754818181818,Uniform,13.07,46.86,59.93,NA,NA,5.01,"$50,000 to $59,999",55000,1,Monthly,1,3.7477405200000002,NA
Del Oro Water Company - Black Butte,NA,2017-03-28,Monthly,converted to kgal,15,3,4,Uniform,24.84,19.71,45.17,NA,NA,1.314,NA,NA,1,Monthly,1,0.9829403280000001,NA
Del Oro Water Company - Magalia,NA,2018-03-22,Monthly,converted to kgal,15,3,4,Uniform,31.67,58.95,99.74,NA,NA,5.254,NA,NA,0,Monthly,1,5.254,NA
Delano  City Of,CA1510005,2017-07-01,Monthly,converted to kgal,10.9176622058153,3.52735695505196,4.85881113636364,Tiered,26.78,20.99,47.77,0-5-15,0,1.39-2.23-3.31,"$30,000 to $34,999",32500,1,Monthly,1,1.03979228,3.74026
Desert Water Agency,CA3310005,2017-01-01,monthly,converted to kgal,12.6892616861775,1.88524217388009,5.73116318181818,Uniform,14.41,19.92,36.36,NA,NA,1.57,"$40,000 to $44,999",42500,0,Monthly,1,1.1744416400000002,NA
Diablo Water District,CA0710007,2017-02-01,monthly,converted to kgal,11.7844557781547,3.20267070745336,4.72398840909091,Tiered,11.05,38.5,49.55,0-9,0,3.19-3.43,"$75,000 to $99,999",87500,0,Monthly,1,2.38628588,6.732468000000001
Dinuba  City Of,CA5410002,2017-10-01,Monthly,converted to kgal,15,3.55368552282998,4.92167046511628,Tiered,11.86,15.68,27.54,0-9,0,1.187-1.922,"$35,000 to $39,999",37500,1,Monthly,1,1.187,9
