PWSID,Water System Name,Water System Classification,Water System Ownership,Physical location Address 1,Physical location Address 2,Physical location City,Physical location Zip,Website URL,Population Res,WR Type CODE,Water Rate Type,WR Num Tiers,WR Rate Updated,WR Rate Changes,WR Frequency,WR New Connection Fee,WR Connection Fee Updated,WR SF FBR,WR SF Amt per HCF,WR SF Amt Low,WR SF Amt High,WR SF Amt per HCF Low,WR SF Amt per HCF High,WR MF FBR,WR MF Amt per HCF,WR MF Amt Low,WR MF Amt High,WR MF Amt per HCF Low,WR MF Amt per HCF High,WR Subsidies,WR S FBR,WATER RATES Lifeline UUR VOLUME,WR S Amt Low,WR S Amt High,WR S Amt per HCF Low,WR S Amt per HCF High,WR S Amt Percent,WR CI FBR,WR CI Amt per HCF,WR CI Amt Low,WR CI Amt High,WR CI Amt per HCF Low,WR CI Amt per HCF High,WR I FBR,WR I Amt per HCF,WR I Amt Low,WR I Amt High,WR I Amt per HCF Low,WR I Amt per HCF High,WR LI FBR,WR LI Amt per HCF,WR LI Amt Low,WR LI Amt High,WR LI Amt per HCF Low,WR LI Amt per HCF High,WR AI FBR,WR AI Amt per HCF,WR AI Amt Low,WR AI Amt High,WR AI Amt per HCF Low,WR AI Amt per HCF High,WR O FBR,WR O Amt per HCF,WR O Amt Low,WR O Amt High,WR O Amt per HCF Low,WR O Amt per HCF High,WR FS Surcharges,WR FS FBR,WR FS Amt per HCF,WR FS Amt Low,WR FS Amt High,WR FS Amt per HCF Low,WR FS Amt per HCF High,WR Other Surcharges,WR Other Surcharges Description,WR OS FBR,WR OS Amt per HCF,WR OS Amt Low,WR OS Amt High,WR OS Amt per HCF Low,WR OS Amt per HCF High,WR AVG Mon Res Cost,WR AVG Mon Res Cost 6 CCF,WR AVG Mon Res Cost 12 CCF,WR AVG Mon Res Cost 24 CCR,SYSTEM,EAR YEAR 
CA5402019,BLANCA MARKET & DELI,Transient Noncommunity Water System,-,19185 AVE. 96, ,TERRA BELLA,93270,, ,FBR,Flat Base Rate: Basic charge that all customers pay, , , ,O, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , ,66, , , ,SMALL,2015
CA5402022,BRAVO FARMS TRAVER,Transient Noncommunity Water System,-,36005 HWY 99, ,TRAVER,93673,bravofarm.com, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA5403053,NS MINI MART,Transient Noncommunity Water System,-, , ,PORTERVILLE,93257,, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA5403105,THE BARN,Transient Noncommunity Water System,-,19558 AVE 296, ,EXETER,93221,n/a, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA5402030,WAUKENA MARKET,Transient Noncommunity Water System,-,2838 WAUKENA DR, ,WAUKENA,93274,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5403011,USA PETRO SUPER STOP,Transient Noncommunity Water System,-,1599 MEHLERT STREET, ,KINGSBURG,93631,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0708006,CECCHINI WATER,Transient Noncommunity Water System, , , ,BYRON,94514, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0707511,CASTLEROCK WATER SYS, , , , ,WALNUT CREEK,94598, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0707591,BLUE TIP TRAILER PARK WATER, , , , ,OAKLEY,94561, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0706022,BYRON UNITED METHODIST,Transient Noncommunity Water System, , , ,BYRON,94514, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0707526,CASA DEL RIO WATER SYSTEM,Transient Noncommunity Water System, , , ,OAKLEY,94511, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA0706037,BETHEL BAPTIST CHURCH,Transient Noncommunity Water System, , , ,BETHEL ISLAND,94511, , ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA0707625,GOLDEN EAGLE SMALL WATER SYSTEM,Nontransient Noncommunity Water System, , , ,MARTINEZ,94553,http://tsocorp.com, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA0707543,BRENTWOOD MISSIONARY BAPTIST,Transient Noncommunity Water System,-, , ,BRENTWOOD,94513,, ,N/A,Not Applicable, , , ,-, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA2700636,ROYAL OAKS PARK WS,Transient Noncommunity Water System, , , ,ROYAL OAKS,95076, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2700662,MURPHY HILL WS #01,Community Water System,-, , ,AROMAS,95004,,65, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2701034,APPLE AVE WS #02,Community Water System,-, , ,GREENFIELD,93927,,75,N/A,Not Applicable, , , ,O, , , , , , , , , , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-, , , , , , ,-, , , , , , , , , , , ,SMALL,2015
CA2700638,MAHER RD WS #05,Community Water System,-, , ,ROYAL OAKS,95076,sbdchianti@sbcglobal.net,51,FBR,Flat Base Rate: Basic charge that all customers pay, , , ,M, , ,35, , , , , , , , , , , ,No, , , , , , , ,0, , , , , ,0, , , , , ,0, , , , , ,0, , , , , ,0, , , , , ,No, , , , , , ,No, , , , , , , ,35, , , ,SMALL,2015
CA2700575,EL CAMINO REAL WS #16,Transient Noncommunity Water System, , , ,AROMAS,95004, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2700851,MONTEREY ROSES WS,Transient Noncommunity Water System, , , ,SALINAS,93907, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2702412,DOLE FRESH VEGETABLES WS,Nontransient Noncommunity Water System, , , ,SOLEDAD,93960, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2702440,BARLOCKER RUSTLING OAKS RANCH WS,Transient Noncommunity Water System, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2702549,HARRISON RD WS #09,Nontransient Noncommunity Water System,-, , ,SALINAS,93907,N/A, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5601721,USFS - CHUCHUPATE RANGER STATION,Nontransient Noncommunity Water System,-,34580 LOCKWOOD VALLEY ROAD, ,FRAZIER PARK,93225,http://www.fs.fed.us/r5/lospadres ,3,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4200918,LOS PRIETOS COMPLEX,Community Water System,-, , ,SANTA BARBARA,93105,http://www.fs.fed.us/r5/lospadres ,45,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1710016,KONOCTI HARBOR RESORT AND SPA, ,Privately owned business (non-community),8727 SODA BAY ROAD, ,KELSEYVILLE,95451,http://www.konoctiharbor.com,80,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5403208,SOULTS PUMP & EQUIPMENT COMPANY,Nontransient Noncommunity Water System,-,2873 W INYO AVE, ,TULARE,93274,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA5500269,THOMASON TUOLUMNE RD. PROP (STEVE'S PLAC,Transient Noncommunity Water System,-,14551 Tuolumne Rd,Sonora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0605002,MORNING STAR PKG. CO.-WMS.,Nontransient Noncommunity Water System,Privately owned business (non-community),2211 OLD HIGHWAY 99, ,WILLIAMS,95987,morningstarco.com,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1800523,PINEVIEW MOBILE HOME PARK,Community Water System,Privately owned business (non-community),2000 PAIUTE LANE, ,SUSANVILLE,96130,,113,N/A,Not Applicable,N/A,NA,NA,-,Na,Na,Na,na,na,na,na,nA,NA,na,na,na,na,na,-,Na,na,na,na,na,na,,nA,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,NA,NA,,,,,,,No,NA,NA,,NA,NA,NA,-,,NA,NA,NA,NA,NA,NA, ,0,0,0,SMALL,2015
CA3610048,TERRACE WATER COMPANY,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3601108,HOLLAND BURGER CAFE, ,Privately owned business (non-community), 17143 D St, ,VICTORVILLE,92392,,6,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4500324,MOUNTAIN MEADOWS CAMP,Transient Noncommunity Water System,Privately owned business (non-community), Long Hay Flat Rd., ,SHINGLETOWN,96088,,na,-,,N/A,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4200741,PACIFICA SUITES,Transient Noncommunity Water System,Privately owned business (non-community), , ,SANTA BARBARA,93111,PACIFICAHOTELS.COM/PACIFICASUITES,,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3301132,DIAMOND VALLEY MARKET WATER,Transient Noncommunity Water System,Privately owned business (non-community), , 32230 Sage Rd,HEMET,92544,NONE,3, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA4500261,USFS HIRZ BAY/DEKKAS/MOORE CR,Transient Noncommunity Water System,State or Federal Government, , ,LAKEHEAD,96051,http://www.fs.usda.gov/stnf/,N/A, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA4500262,USFS - GREGORY CREEK CAMP,Transient Noncommunity Water System,State or Federal Government, , ,LAKEHEAD,96051,http://www.fs.usda.gov/stnf/,N/A,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3301989,ALAMO DISCOUNT STORE,Transient Noncommunity Water System, , , ,THERMAL,92274, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA4200638,PARADISE STORE,Transient Noncommunity Water System,Privately owned business (non-community), , 1 Paradise Road,SANTA BARBARA,93105,PARADISESTORESB.COM,,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5500259,HATLER INDUSTRIAL PARK,Nontransient Noncommunity Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4200904,SANTA BARBARA THOROUGHBRED MWC, , , , ,SANTA YNEZ,93460, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2900572,FIVE MILE HOUSE WATER SYSTEM, ,-,18851 STATE HWY 20 EAST, ,NEVADA CITY,95959,,, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA4100515,MARTINS BEACH WATER SYSTEM,Community Water System,Privately owned business (non-community),,,,,N/A,10,BUUR, Base Rate + Uniform Usage Rate: Single flat base rate charge plus a charge per 100 cubic feet (hcf) that is same regardless of how much is used.,-,,,O,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4000777,STRASBAUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4300856,SPRING VALLEY HEIGHTS ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4000598,CUYAMA LANE WATER COMPANY,Nontransient Noncommunity Water System,Privately owned Mutual Water Company or Association, , ,NIPOMO,93444,,,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4000802,SANTA YSABEL RANCH MWC,Community Water System,Privately owned Mutual Water Company or Association, Santa Ysabel Ranch, ,PASO ROBLES,93447,,25, ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA2800011,DANA ESTATES, ,Privately owned business (non-community),1500 Whitehall Ln, ,ST HELENA,94574,www.danaestates.com, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA4110020,PALO ALTO PARK MUTUAL WATER COMPANY,Community Water System,Privately owned Mutual Water Company or Association,2190 ADDISON AVE, ,EAST PALO ALTO,94303,paloaltoparkmutualwatercompany.com,2264,FBR,Flat Base Rate: Basic charge that all customers pay,N/A,,,-,,,,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,No,,,,N/A,N/A,N/A,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA1400055,EASTERN SIERRA REGIONAL AIRPORT,Nontransient Noncommunity Water System,Local Government,703 AIRPORT ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3705070,WYNOLA FARMS WATER DISTRICT,Transient Noncommunity Water System,Privately owned business (non-community), , ,JULIAN,92036,,6,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2800038,VINEYARD 29,Transient Noncommunity Water System,Privately owned business (non-community),2929 Highway 29 North,,,St. Helena,www.vineyard29.com,,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2702625,ARROYO SECO RD WS #19 - PENDING, ,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3702420,STAGECOACH TRAILS RV RESORT, ,Privately owned business (non-community), 7878 Great Southern Overland Stage rte of 1849, ,JULIAN,92036,www.stagecoachtrails.com,5,N/A,Not Applicable,N/A,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2700733,SAN JUAN RD WS #01,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3600537,YMCA CAMP TA TA POCHON,Transient Noncommunity Water System,Privately owned business (non-community), 42021 Jenks Lake Rd. West, ,ANGELUS OAKS,92305,wsgvymca.org,2,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2701184,SAN ANTONIO LAKE PARK SOUTH WS,Transient Noncommunity Water System, , , ,BRADLEY,93426, , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
