"","PWSID","Survey","Year","SectionName","QuestionName","QuestionResults","SurveyID","SectionID","QuestionID","Pk","QCat"
"100","CA5710012","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"101","CA5810001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"102","CA1510038","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"103","CA1510040","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"104","CA1510045","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"105","CA1510053","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"106","CA1510055","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"107","CA1510703","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"108","CA1510800","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"109","CA1510801","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"110","CA1510802","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"111","CA1610001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"112","CA1610002","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"113","CA1610003","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"114","CA1610004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Bills that remain unpaid for 45 days will be charged a penalty of $10 and have a shut-off notice hung on their door. If payment is not received by the date on the door tag, the water will be shut-off.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"115","CA1610005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"116","CA1610700","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","Navy does not shut off water to its customers.  Commands are required by law to pay for the water used.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"117","CA1710001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"118","CA1710003","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"119","CA1710004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"120","CA1710005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"121","CA1710006","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"122","CA1710002","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020",21,6,78411,"Water Rates and Deliveries-78411","WR"
"123","CA1710007","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"124","CA1710008","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"125","CA1710014","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"126","CA1710015","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"127","CA1710021","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"128","CA1805004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"129","CA1810001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"130","CA1900046","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"131","CA1910001","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"132","CA1910003","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"133","CA1910004","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"134","CA1910006","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"135","CA1910005","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","https://dpw.lacounty.gov/wwd/web/Documents/part1.pdf",21,6,78411,"Water Rates and Deliveries-78411","WR"
"136","CA1910007","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"137","CA1910009","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"138","CA1910011","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"139","CA1910013","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"140","CA1910017","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"141","CA1910019","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"142","CA1910020","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"143","CA1910018","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","a new plan is being written currently",21,6,78411,"Water Rates and Deliveries-78411","WR"
"144","CA1910021","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"145","CA1910024","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"146","CA1910026","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"147","CA1910028","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"148","CA1910029","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"149","CA1910030","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
"150","CA1910032","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"151","CA1910033","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"152","CA1910034","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"153","CA1910036","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"154","CA1910038","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"155","CA1910041","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"156","CA1910042","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"157","CA1910043","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"158","CA1910044","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"159","CA1910045","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"160","CA1910039","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"161","CA1910040","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"162","CA1910046","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","SWS keeps track of shutoffs by District and not system. Shutoff numbers are estimated from the weighted ratio of system:district service connections and furthermore, the system service connections are estimated from premise zip codes of customers",21,6,78411,"Water Rates and Deliveries-78411","WR"
"163","CA1910047","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"164","CA1910048","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"165","CA1910049","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"166","CA1910050","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"167","CA1910051","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"168","CA1910052","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"169","CA1910054","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"170","CA1910059","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","SWS keeps track of shutoffs by District and not system. Shutoff numbers are estimated from the weighted ratio of system:district service connections and furthermore, the system service connections are estimated from premise zip codes of customers",21,6,78411,"Water Rates and Deliveries-78411","WR"
"171","CA1910060","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"172","CA1910061","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"173","CA1910062","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"174","CA1910139","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"175","CA1910140","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"176","CA1910143","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"177","CA1910144","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments",NA,21,6,78411,"Water Rates and Deliveries-78411","WR"
"178","CA1910142","LWS",2018,"Water Rates and Deliveries","WR SHUT_OFFS Comments","The requirements of SB 998 take effect in 2020.",21,6,78411,"Water Rates and Deliveries-78411","WR"
